country,stateProvince,county,domainName,domainID,siteName,siteID,plotType,subtype,subtypeSpecification,plotID,Plot_ID,plotSize,plotDimensions,referencePointPosition,decimalLatitude,decimalLongitude,geodeticDatum,utmZone,easting,northing,coordinateUncertainty,elevation,elevationUncertainty,minimumElevation,maximumElevation,slopeGradient,slopeAspect,nlcdClass,,inclusionProbability,coordinateSource,recordedDate,filteredPositions,plotPdop,plotHdop,applicableModules
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_028,OSBS028,1600,40m x 40m,41,29.685933,-81.995718,WGS84,17N,403661.842,3284399.561,0.1,45,0.1,44.22,46.11,0.74,0,,,,GeoXH 6000,20130125,130,1.9,1,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_029,OSBS029,1600,40m x 40m,41,29.692504,-81.989891,WGS84,17N,404231.908,3285122.946,0.1,44.29,0.1,43.88,44.9,0,0,,,,GeoXH 6000,20130128,120,1.6,0.8,bbc|bgc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_030,OSBS030,1600,40m x 40m,41,29.689424,-81.997606,WGS84,17N,403482.556,3284788.07,0.1,46.1,0.11,44.23,47.93,0.57,9,,,,GeoXH 6000,20130127,124,2,1,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_031,OSBS031,1600,40m x 40m,41,29.688968,-81.991105,WGS84,17N,404111.075,3284732.076,0.3,49.21,,44.19,49.21,0.46,268,,,,GIS,,,,,bbc|bgc|cdw|dhp|hbp|ltr|mfb|sme|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_032,OSBS032,1600,40m x 40m,41,29.690033,-81.99111,WGS84,17N,404111.565,3284850.091,0.1,46.41,0.12,45.71,46.41,0,0,,,,GeoXH 6000,20130127,121,5.3,1.7,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_033,OSBS033,1600,40m x 40m,41,29.690061,-81.989562,WGS84,17N,404261.453,3284851.886,0.11,44.13,0.21,42.47,46.52,1.72,90,,,,GeoXH 6000,20130128,123,2.6,1.3,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_034,OSBS034,1600,40m x 40m,41,29.68872,-81.988299,WGS84,17N,404382.301,3284702.319,0.11,41.54,0.15,40.87,42.62,0,0,,,,GeoXH 6000,20130128,122,3.5,1.6,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_035,OSBS035,1600,40m x 40m,41,29.687529,-81.997576,WGS84,17N,403483.638,3284577.985,0.14,43.6,0.34,42.87,44.19,0,0,,,,GeoXH 6000,20130128,121,2.3,1.3,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_036,OSBS036,1600,40m x 40m,41,29.691429,-81.990504,WGS84,17N,404171.617,3285004.277,0.15,43.88,0.19,43.35,45.49,0.29,90,,,,GeoXH 6000,20130128,123,3.3,1.5,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_037,OSBS037,1600,40m x 40m,41,29.686474,-81.994473,WGS84,17N,403782.858,3284458.576,0.1,45.34,0.1,44.44,45.85,0,0,,,,GeoXH 6000,20130122,124,2.1,1,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_038,OSBS038,1600,40m x 40m,41,29.690777,-81.997627,WGS84,17N,403481.778,3284937.945,0.17,46.03,0.18,45.05,47.12,0.57,0,,,,GeoXH 6000,20130107,735,2.5,1,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_039,OSBS039,1600,40m x 40m,41,29.6933,-81.990822,WGS84,17N,404142.609,3285211.938,0.1,47.43,0.1,46.1,47.76,0,0,,,,GeoXH 6000,20130128,121,2.1,1.1,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_040,OSBS040,1600,40m x 40m,41,29.688978,-81.989556,WGS84,17N,404260.999,3284731.96,0.11,42.94,0.16,42.41,47.1,1.15,290,,,,GeoXH 6000,20130127,121,2.1,1.2,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_041,OSBS041,1600,40m x 40m,41,29.687527,-81.996333,WGS84,17N,403603.882,3284576.719,0.1,44.66,0.16,44.62,45.49,0,0,,,,GeoXH 6000,20130128,123,2.8,1.4,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_042,OSBS042,1600,40m x 40m,41,29.692959,-81.996398,WGS84,17N,403602.758,3285178.774,0.3,36.61,0.52,31.95,39.2,4.57,15,,,,GeoXH 6000,20130126,142,4,2,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_043,OSBS043,1600,40m x 40m,41,29.69143,-81.988956,WGS84,17N,404321.315,3285003.145,0.11,47.55,0.4,42.59,47.55,1.15,0,,,,GeoXH 6000,20130128,137,5.6,2.2,bbc|cdw|dhp|hbp|ltr|mfb|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,basePlot,,OSBS_044,OSBS044,1600,40m x 40m,41,29.690847,-81.992034,WGS84,17N,404022.955,3284941.112,0.1,44.22,0.11,43.11,45.54,0,0,,,,GeoXH 6000,20130127,120,4.4,2.3,bbc|cdw|dhp|hbp|ltr|mfb|vst
