"","V1"
"169",1.22383999824524
"170",1.22885000705719
"171",1.23386001586914
"172",1.23887002468109
"173",1.24388003349304
"174",1.24889004230499
"175",1.25390005111694
"176",1.25890004634857
"177",1.26391005516052
"178",1.26891994476318
"179",1.27392995357513
"180",1.27893996238708
"181",1.28394997119904
"182",1.28895998001099
"183",1.29396998882294
"184",1.29897999763489
"185",1.30399000644684
"186",1.30900001525879
"187",1.31401002407074
"188",1.31902003288269
"189",1.32403004169464
"190",1.32903003692627
"191",1.33404004573822
"192",1.33905005455017
"193",1.34405994415283
"194",1.34906995296478
"195",1.35407996177673
"196",1.35908997058868
"197",1.36409997940063
"198",1.36910998821259
"199",1.37411999702454
"200",1.37913000583649
"201",1.38414001464844
"202",1.38915002346039
"203",1.39416003227234
"204",1.39917004108429
"205",1.40418004989624
"206",1.40918004512787
"207",1.41419005393982
"208",1.41919994354248
"209",1.42420995235443
"210",1.42921996116638
"211",1.43422996997833
"212",1.43923997879028
"213",1.44424998760223
"214",1.44925999641418
"215",1.45427000522614
"216",1.45928001403809
"217",1.46429002285004
"218",1.46930003166199
"219",1.47431004047394
"220",1.47932004928589
"221",1.48432004451752
"222",1.48933005332947
"223",1.49433994293213
"224",1.49934995174408
"225",1.50435996055603
"226",1.50936996936798
"227",1.51437997817993
"228",1.51938998699188
"229",1.52439999580383
"230",1.52941000461578
"231",1.53442001342773
"232",1.53943002223969
"233",1.54444003105164
"234",1.54945003986359
"235",1.55446004867554
"236",1.55947005748749
"237",1.56447994709015
"238",1.56947994232178
"239",1.57448995113373
"240",1.57949995994568
"241",1.58450996875763
"242",1.58951997756958
"243",1.59452998638153
"244",1.59953999519348
"245",1.60455000400543
"246",1.60956001281738
"247",1.61457002162933
"248",1.61958003044128
"249",1.62459003925323
"250",1.62960004806519
"251",1.63460004329681
"252",1.63961005210876
"253",1.64461994171143
"254",1.64962995052338
"255",1.65463995933533
"256",1.65964996814728
"257",1.66465997695923
"258",1.66966998577118
"259",1.67467999458313
"260",1.67969000339508
"261",1.68470001220703
"262",1.68971002101898
"263",1.69472002983093
"264",1.69973003864288
"265",1.70474004745483
"266",1.70974004268646
"267",1.71475005149841
"268",1.71975994110107
"269",1.72476994991302
"270",1.72977995872498
"271",1.73478996753693
"272",1.73979997634888
"273",1.74480998516083
"274",1.74981999397278
"275",1.75483000278473
"276",1.75984001159668
"277",1.76485002040863
"278",1.76986002922058
"279",1.77487003803253
"280",1.77988004684448
"281",1.78488004207611
"282",1.78989005088806
"283",1.79489994049072
"284",1.79990994930267
"285",1.80491995811462
"286",1.80992996692657
"287",1.81493997573853
"288",1.81994998455048
"289",1.82495999336243
"290",1.82997000217438
"291",1.83498001098633
"292",1.83999001979828
"293",1.84500002861023
"294",1.85001003742218
"295",1.85501003265381
"296",1.86002004146576
"297",1.86503005027771
"298",1.87004005908966
"299",1.87504994869232
"300",1.88005995750427
"301",1.88506996631622
"302",1.89007997512817
"303",1.89508998394012
"304",1.90009999275208
"305",1.90511000156403
"306",1.91012001037598
"307",1.91513001918793
"308",1.92014002799988
"309",1.92515003681183
"310",1.93015003204346
"311",1.93516004085541
"312",1.94017004966736
"313",1.94518005847931
"314",1.95018994808197
"315",1.95519995689392
"316",1.96020996570587
"317",1.96521997451782
"318",1.97022998332977
"319",1.97523999214172
"320",1.98025000095367
"321",1.98526000976562
"322",1.99027001857758
"323",1.99528002738953
"324",2.00028991699219
"325",2.00530004501343
"326",2.01029992103577
"327",2.01531004905701
"328",2.02031993865967
"329",2.02533006668091
"330",2.03033995628357
"331",2.03535008430481
"332",2.04035997390747
"333",2.04537010192871
"334",2.05037999153137
"335",2.05538988113403
"336",2.06040000915527
"337",2.06540989875793
"338",2.07042002677917
"339",2.07541990280151
"340",2.08044004440308
"341",2.08543992042542
"342",2.09045004844666
"343",2.09545993804932
"344",2.10047006607056
"345",2.10547995567322
"346",2.11049008369446
"347",2.11549997329712
"348",2.12051010131836
"349",2.12551999092102
"350",2.13053011894226
"351",2.13554000854492
"352",2.14054989814758
"353",2.14556002616882
"354",2.15056991577148
"355",2.15558004379272
"356",2.16057991981506
"357",2.1655900478363
"358",2.17059993743896
"359",2.17561006546021
"360",2.18061995506287
"361",2.18563008308411
"362",2.19063997268677
"363",2.19565010070801
"364",2.20065999031067
"365",2.20567011833191
"366",2.21068000793457
"367",2.21568989753723
"368",2.22070002555847
"369",2.22569990158081
"370",2.23072004318237
"371",2.23571991920471
"372",2.24073004722595
"373",2.24573993682861
"374",2.25075006484985
"375",2.25575995445251
"376",2.26077008247375
"377",2.26577997207642
"378",2.27079010009766
"379",2.27579998970032
"380",2.28081011772156
"381",2.28582000732422
"382",2.29082989692688
"383",2.29584002494812
"384",2.30083990097046
"385",2.30586004257202
"386",2.31085991859436
"387",2.3158700466156
"388",2.32087993621826
"389",2.3258900642395
"390",2.33089995384216
"391",2.3359100818634
"392",2.34091997146606
"393",2.3459300994873
"394",2.35093998908997
"395",2.35595011711121
"396",2.36096000671387
"397",2.36596989631653
"398",2.37098002433777
"399",2.37598991394043
"400",2.38100004196167
"401",2.38599991798401
"402",2.39101004600525
"403",2.39601993560791
"404",2.40103006362915
"405",2.40603995323181
"406",2.41105008125305
"407",2.41605997085571
"408",2.42107009887695
"409",2.42607998847961
"410",2.43109011650085
"411",2.43610000610352
"412",2.44110989570618
"413",2.44612002372742
"414",2.45111989974976
"415",2.45614004135132
"416",2.46113991737366
"417",2.4661500453949
"418",2.47115993499756
"419",2.4761700630188
"420",2.48117995262146
"421",2.4861900806427
"422",2.49119997024536
"423",2.4962100982666
"424",2.50121998786926
"425",2.5062301158905
"426",2.51124000549316
